web_path	original_size	original_dims	new_size	new_dims	display_width
/images/optimized/People_Images/CButera.png	123682	200x268	123682	200x268	
/images/optimized/People_Images/Caner.jpg	171842	1200x1599	111688	600x800	
/images/optimized/People_Images/Carine.jpg	3024	150x132	3024	150x132	
/images/optimized/People_Images/Charlie-C.jpg	411101	1313x1305	151731	800x795	
/images/optimized/People_Images/Chessie.jpeg.jpg	297510	1512x1512	122932	800x800	
/images/optimized/People_Images/Chidanand.JPG	3429797	4032x3024	102484	800x600	
/images/optimized/People_Images/Chloe.jpg	50568	330x440	50568	330x440	
/images/optimized/People_Images/Christine.jpg	27259	250x261	27259	250x261	
/images/optimized/People_Images/Clay.jpg	8469	200x235	8469	200x235	
/images/optimized/People_Images/Connor.JPG	89352	665x860	76368	619x800	
/images/optimized/People_Images/Daniel_Carvalho.jpg	197215	500x611	197215	500x611	
/images/optimized/People_Images/Danielngu_small.jpg	77640	360x480	77640	360x480	
/images/optimized/People_Images/Deniz2.PNG	586612	800x894	308368	716x800	
/images/optimized/People_Images/Deniz3.PNG	124098	349x383	124098	349x383	
/images/optimized/People_Images/Elijah.jpg	43749	300x400	43749	300x400	
/images/optimized/People_Images/Fangyi.jpg	29242	300x390	29242	300x390	
/images/optimized/People_Images/GraceC.jpg	31621	200x247	31621	200x247	
/images/optimized/People_Images/Guangchao.JPG	29539	200x240	29539	200x240	
/images/optimized/People_Images/HadiyaK.jpg	354696	1214x857	99804	800x565	
/images/optimized/People_Images/HadiyaK2.jpg	256779	1053x833	91993	800x633	
/images/optimized/People_Images/HanT.jpg	31240	200x228	31240	200x228	
/images/optimized/People_Images/HarshitaM.jpg	760794	3024x3024	138127	800x800	
/images/optimized/People_Images/HarshitaM2.jpg	102677	824x1024	59835	644x800	
/images/optimized/People_Images/Henrique.jpg	26072	300x391	26072	300x391	
/images/optimized/People_Images/HenryM.jpg	27322	200x219	27322	200x219	
/images/optimized/People_Images/Holly.jpg	104480	300x412	104480	300x412	
/images/optimized/People_Images/Hongyu.jpg	28141	200x246	28141	200x246	
/images/optimized/People_Images/Horn_small.JPG	230006	500x583	230006	500x583	
/images/optimized/People_Images/Isaac.jpg	14901	144x195	14901	144x195	
/images/optimized/People_Images/JensinaD2.jpg	767136	1920x2240	118938	686x800	
/images/optimized/People_Images/Jill.jpg	23581	447x559	23581	447x559	
/images/optimized/People_Images/Jocelyne.jpg	14886	200x215	14886	200x215	
/images/optimized/People_Images/Johnson_small.JPG	156662	487x667	156662	487x667	
/images/optimized/People_Images/JonT.jpg	34368	200x238	34368	200x238	
/images/optimized/People_Images/Jordan.jpeg	5460429	2667x4000	68437	533x800	
/images/optimized/People_Images/Kahheetah.jpg	40624	300x376	40624	300x376	
/images/optimized/People_Images/KarlaC.jpeg	199877	768x1024	162574	600x800	
/images/optimized/People_Images/Kashish.jpg	3222212	3000x4000	119016	600x800	
/images/optimized/People_Images/Kelsey_Shotkoski.jpg	9763359	3333x4666	43277	571x800	
/images/optimized/People_Images/Khang.png	187009	701x701	187009	701x701	
/images/optimized/People_Images/KyleL.jpg	35677	252x290	35677	252x290	
/images/optimized/People_Images/Lang_Small.jpg	152973	300x400	152973	300x400	
/images/optimized/People_Images/Lei_Tian_Small.JPG	20160	150x181	20160	150x181	
/images/optimized/People_Images/Leighton.jpg	11703	154x193	11703	154x193	
/images/optimized/People_Images/Lina.jpg	20444	300x374	20444	300x374	
/images/optimized/People_Images/Lionel.jpg	21476	160x205	21476	160x205	
/images/optimized/People_Images/LoganD.jpg	22308	283x357	22308	283x357	
/images/optimized/People_Images/Lou.jpg	50385	250x333	50385	250x333	
/images/optimized/People_Images/LukeM.jpg	31635	200x250	31635	200x250	
/images/optimized/People_Images/LuyangZhangpicture.jpeg	55309	320x315	55309	320x315	
/images/optimized/People_Images/Mackenzie.jpeg	52492	300x375	52492	300x375	
/images/optimized/People_Images/Mackenzie.jpg	52130	300x375	52130	300x375	
/images/optimized/People_Images/MaddyFaber.jpg	498218	1440x1800	158806	640x800	
/images/optimized/People_Images/Madison.jpg	24996	200x238	24996	200x238	
/images/optimized/People_Images/Marcin.jpg	37774	200x267	37774	200x267	
/images/optimized/People_Images/Marthe.jpg	9464	200x198	9464	200x198	
/images/optimized/People_Images/Matthew.jpeg.jpg	888404	4032x3024	59056	800x600	
/images/optimized/People_Images/Miao_Small.jpg	132475	400x487	132475	400x487	
/images/optimized/People_Images/MichaelR.jpg	34275	300x375	34275	300x375	
/images/optimized/People_Images/MichaelT.jpg	65772	300x374	65772	300x374	
/images/optimized/People_Images/MohamedAH.jpg	30626	200x234	30626	200x234	
/images/optimized/People_Images/Natalie.jpg	653105	1701x1689	120402	800x794	
/images/optimized/People_Images/NatashaNguyen.jpeg	4363432	4249x6373	108249	533x800	
/images/optimized/People_Images/NateA.jpg	21431	200x276	21431	200x276	
/images/optimized/People_Images/NateP.jpg	117638	727x791	117638	727x791	
/images/optimized/People_Images/Nate_small.jpg	92439	200x268	92439	200x268	
/images/optimized/People_Images/NicoleH.jpg	32899	218x276	32899	218x276	
/images/optimized/People_Images/NikeeS.PNG	5012347	3000x2000	707458	800x533	
/images/optimized/People_Images/Niranjan.jpeg	186571	1280x853	43746	800x533	
/images/optimized/People_Images/Norah.jpg	33362	200x297	33362	200x297	
/images/optimized/People_Images/Oddine_Kyavuma.jpg	167693	1080x1440	111215	600x800	
/images/optimized/People_Images/Olivier.jpg	22142	300x355	22142	300x355	
/images/optimized/People_Images/OzgurA.jpg	60326	400x400	60326	400x400	
/images/optimized/People_Images/PreethiJK.jpg	743356	1445x1536	153527	753x800	
/images/optimized/People_Images/Preston.jpg	25547	300x362	25547	300x362	
/images/optimized/People_Images/PrinceN.jpg	43834	200x263	43834	200x263	
/images/optimized/People_Images/Ramesh.jpg	240226	1050x1350	82132	622x800	
/images/optimized/People_Images/Ranjita.jpg	27009	200x249	27009	200x249	
/images/optimized/People_Images/Ravi.jpg	104412	248x339	104412	248x339	
/images/optimized/People_Images/Remy.jpg	23102	200x229	23102	200x229	
/images/optimized/People_Images/Rongqing.jpg	4210	120x146	4210	120x146	
/images/optimized/People_Images/RossyB2.jpg	416094	1179x1287	91334	733x800	
/images/optimized/People_Images/Ryleigh.jpg	9159	200x252	9159	200x252	
/images/optimized/People_Images/RyleighK.jpg	37861	400x400	37861	400x400	
/images/optimized/People_Images/Sam2021.jpg	7894	200x245	7894	200x245	
/images/optimized/People_Images/Santos.jpg	47911	300x380	47911	300x380	
/images/optimized/People_Images/Sarah.jpg	41783	300x367	41783	300x367	
/images/optimized/People_Images/Seth.jpg	30179	200x256	30179	200x256	
/images/optimized/People_Images/Shurouk_Hamad.jpg	566824	2208x2944	64403	600x800	
/images/optimized/People_Images/Shuying.jpg	67048	300x363	67048	300x363	
/images/optimized/People_Images/Sierra.jpg	18374	200x300	18374	200x300	
/images/optimized/People_Images/Sofia_Grace.jpeg	686838	2330x3104	84191	601x800	
/images/optimized/People_Images/Sofiya.png	1668826	1080x1080	829231	800x800	
/images/optimized/People_Images/Srinidhi.jpg	79652	438x529	79652	438x529	
/images/optimized/People_Images/Sunil.jpg	30476	168x221	30476	168x221	
/images/optimized/People_Images/Taity.jpg	26651	200x255	26651	200x255	
/images/optimized/People_Images/TrishaN.jpg	147314	1470x1421	78665	800x773	
/images/optimized/People_Images/WaqarAli2.jpg	250393	1459x1041	72461	800x571	
/images/optimized/People_Images/Xiangjun.jpg	45747	300x344	45747	300x344	
/images/optimized/People_Images/Xiaoxi.jpg	24148	200x239	24148	200x239	
/images/optimized/People_Images/Xiuru_small.jpg	61383	300x425	61383	300x425	
/images/optimized/People_Images/Yang_Zhang.jpg	146130	570x955	70294	477x800	
/images/optimized/People_Images/Zhikai_Liang_small.jpg	86909	381x500	86909	381x500	
/images/optimized/People_Images/Zhongjie.jpg	923028	2880x1953	56388	800x542	
/images/optimized/People_Images/isabel.jpg	32515	200x246	32515	200x246	
/images/optimized/People_Images/jamesschnable.jpg	202637	1320x1231	89760	800x746	
/images/optimized/People_Images/jinliang.JPG	64959	300x372	64959	300x372	
/images/optimized/People_Images/logan.JPG	43324	227x291	43324	227x291	
/images/optimized/People_Images/placeholder.jpg	4314	300x300	4314	300x300	
/images/optimized/People_Images/thoban.jpg	35178	300x378	35178	300x378	
/images/optimized/People_Images/vlad2.jpg	188053	1290x1572	93583	656x800	
/images/optimized/People_Images/xlai.jpg	284432	600x773	284432	600x773	
/images/optimized/People_Images/yzhang_small.jpg	130456	563x766	130456	563x766	
/images/optimized/Science_Images/CompGenMerged.jpg	131025	912x475	131025	912x475	
/images/optimized/Science_Images/HTPMerged.jpg	204501	990x461	204501	990x461	
/images/optimized/Science_Images/QGMerged.jpg	133091	989x465	133091	989x465	
/images/optimized/config.png	38771	771x412	38771	771x412	
/images/optimized/lab2022_v2.jpg	2553333	2858x1830	437792	1800x1153	900
/images/optimized/lab_logo.jpg	33269	470x400	33269	470x400	
